name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"azilal,Morocco",2010-01-01,15.7,-2.3,6.2,15.7,-4.6,5.0,0.9,71.8,0.0,0,0.0,,,,,12.6,26.0,1020.9,31.2,19.3,159.1,13.8,7.0,,2010-01-01T07:26:51,2010-01-01T17:32:54,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60190099999,remote,60191099999"
"azilal,Morocco",2010-01-02,20.2,0.6,8.3,20.2,-3.3,6.9,0.2,61.2,0.0,0,0.0,,,,,18.4,169.2,1019.1,10.9,21.0,172.1,14.9,7.0,,2010-01-02T07:27:03,2010-01-02T17:33:38,0.56,Clear,Clear conditions throughout the day.,clear-day,"60190099999,remote,60191099999"
"azilal,Morocco",2010-01-03,19.5,2.9,9.9,19.5,-0.5,9.0,0.6,58.4,0.0,0,0.0,,,,,14.8,206.9,1020.2,78.3,21.2,162.8,14.0,6.0,,2010-01-03T07:27:14,2010-01-03T17:34:23,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60190099999,remote,60191099999"
"azilal,Morocco",2010-01-04,19.7,3.7,9.2,19.7,-1.0,7.5,3.1,69.2,0.8,100,25.0,rain,,,,27.7,261.5,1014.9,52.3,16.5,143.4,12.3,6.0,,2010-01-04T07:27:23,2010-01-04T17:35:09,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"60190099999,remote,60191099999"
"azilal,Morocco",2010-01-05,15.0,2.4,5.7,15.0,-3.5,1.8,3.5,86.9,3.5,100,87.5,rain,,,,36.0,295.6,1015.3,65.1,11.2,152.5,13.0,6.0,,2010-01-05T07:27:31,2010-01-05T17:35:56,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"60190099999,remote,60191099999"
"azilal,Morocco",2010-01-06,10.3,3.9,6.1,10.3,0.6,4.0,3.6,85.8,7.3,100,100.0,rain,,,,22.0,298.5,,61.4,,144.9,12.5,6.0,,2010-01-06T07:27:36,2010-01-06T17:36:44,0.7,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,remote
"azilal,Morocco",2010-01-07,13.3,0.5,6.7,13.3,-6.2,2.9,5.1,89.9,32.2,100,100.0,"rain,snow",,,,43.9,283.2,1006.4,76.9,9.5,92.0,7.9,4.0,,2010-01-07T07:27:40,2010-01-07T17:37:33,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"60190099999,remote,60191099999"
"azilal,Morocco",2010-01-08,9.5,-3.9,2.1,6.7,-9.5,-3.0,0.3,88.4,7.8,100,95.83,"rain,snow",,,,36.7,311.6,1017.0,58.9,13.2,148.7,12.8,6.0,,2010-01-08T07:27:42,2010-01-08T17:38:22,0.77,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"60190099999,remote,60191099999"
"azilal,Morocco",2010-01-09,12.0,-8.0,1.3,12.0,-12.6,-0.9,-5.9,62.2,0.0,0,0.0,,,,,11.5,36.8,1021.5,28.8,20.7,179.0,15.6,7.0,,2010-01-09T07:27:43,2010-01-09T17:39:12,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60190099999,remote,60191099999"
"azilal,Morocco",2010-01-10,11.1,-2.3,3.9,11.1,-6.3,1.0,-0.2,75.9,8.4,100,66.67,rain,,,,21.6,255.2,1017.5,82.0,11.6,95.1,8.3,4.0,,2010-01-10T07:27:41,2010-01-10T17:40:03,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60190099999,remote"
"azilal,Morocco",2010-01-11,15.9,0.0,4.9,15.9,-4.8,2.3,2.3,85.1,1.4,100,45.83,"rain,snow",,,,25.9,314.8,1025.3,35.9,14.2,164.7,14.3,7.0,,2010-01-11T07:27:38,2010-01-11T17:40:55,0.87,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"60190099999,remote"
