v1,v2,v3,v4,v5,v6,v7,v8,transaction_amount,is_fraud
1.0724,-0.092,-0.5718,1.1606,-1.0318,-0.7477,-1.8292,1.3095,262.88,0
0.764,0.9747,0.2999,0.6371,2.185,-0.3015,-1.0457,-1.5341,31.42,0
1.4265,1.773,1.0007,0.2327,1.8256,0.2407,-0.4792,-0.6753,538.83,0
0.6355,-0.2473,0.9225,-1.9669,-0.2425,-0.4755,0.9558,0.6728,206.73,0
-0.0695,-0.1929,1.1756,1.0218,1.4148,0.3726,1.3527,-0.4161,1224.75,0
0.6267,0.4043,0.229,-0.667,-2.5861,1.0744,-0.4888,1.1696,391.55,0
-0.4929,1.1031,0.5092,1.8485,1.7044,0.2996,-0.252,-0.9584,395.98,0
0.587,-0.5073,-0.5931,-0.183,-0.552,1.5251,0.3165,0.0146,418.28,0
0.8838,-0.3878,-0.3003,1.3823,-0.3538,-0.6326,1.8722,-0.0477,110.47,0
-0.4601,-1.1446,-0.5694,-0.0401,0.175,-2.1352,-0.2196,0.0286,357.78,0
0.7779,-0.3902,0.3496,-0.462,0.05,-1.0747,0.2476,0.0442,209.51,0
1.3794,1.2493,1.202,-3.8878,0.4402,0.2121,-0.0349,0.6098,136.24,0
-1.2845,0.7454,1.645,0.546,1.2334,2.5919,0.8374,-1.1006,257.2,0
0.1334,-0.9531,-0.5783,0.4791,1.4173,-0.0381,0.5541,-1.4445,43.11,0
-1.1352,-1.0114,0.1627,-0.2669,2.4965,0.5943,-1.1517,-1.5356,189.55,0
-0.7327,0.4076,-0.2791,-0.0138,-0.1641,1.2535,1.3056,-0.6262,288.46,0
1.1171,1.1485,-0.8724,0.2386,-0.8478,-0.1882,0.3218,-3.4087,238.45,0
0.5605,-0.6328,-0.1729,0.1641,0.2463,0.4937,-0.5792,-1.3433,553.63,0
1.1827,0.0723,-0.9829,-0.0499,-0.7248,0.6579,-0.3591,-0.0985,251.27,0
-1.2916,0.3381,0.8492,0.9909,-1.3522,-1.519,-0.5368,1.3847,269.39,0
-0.0618,1.1909,-0.3652,1.0074,-1.6677,-0.4537,1.0491,1.5702,476.98,0
-1.6499,0.5486,-0.6437,0.7305,-0.0136,-0.5353,-0.3866,-0.8504,274.69,0
0.0114,-0.3603,-0.5667,0.5051,0.7804,-1.1305,-1.2877,0.9545,372.18,0
0.3706,0.3206,-0.9036,-0.3421,0.5372,-0.2114,-0.2873,1.9035,136.6,0
-1.235,0.23,0.9058,0.0093,2.7648,-0.9198,0.4449,1.2912,5.35,0
-0.5448,1.5189,0.4018,1.2611,2.8952,0.0468,1.502,-0.6995,559.96,0
0.1266,-1.5895,-0.526,0.4048,0.0857,-2.3004,-0.567,1.0208,398.44,0
2.9816,-0.4619,1.492,2.8697,0.2728,-1.9548,2.2362,1.7353,203.91,1
1.2397,-1.3805,-0.2229,-0.0163,0.6115,-0.224,-0.0985,-0.4613,525.8,0
1.6756,0.4204,1.9709,1.1753,0.2272,-0.7231,-0.7016,0.533,333.68,0
-0.0078,0.3882,-0.9613,-1.1712,-0.1011,-0.6798,1.4255,0.3751,201.26,0
-0.3047,-0.6641,0.041,-0.1013,-1.1193,-0.4244,0.6097,1.027,53.59,0
0.2678,-2.1887,-0.9709,-0.9167,-0.3187,0.1144,0.1553,0.2857,122.2,0
-0.9672,-0.9379,-1.1214,2.753,-0.1422,0.5299,-1.1406,0.9593,689.18,0
0.5345,1.9281,0.5027,0.3022,0.2404,-1.2855,0.956,-2.4455,44.03,0
2.7536,0.6141,1.1309,-0.3071,-0.9929,-0.3143,0.712,0.4068,306.83,0
0.5509,-0.093,-0.665,-1.3434,0.7337,0.6794,-0.4661,1.2133,560.89,0
-0.9204,-0.2291,1.9396,1.0426,0.308,1.5517,-0.8249,2.4904,337.72,0
1.9581,-0.5312,0.9559,0.2792,0.383,-0.2505,-0.3027,1.528,348.89,0
-0.2871,0.5322,-0.1195,-1.8644,-0.7461,-1.5194,0.2441,0.5033,566.53,0
-0.8302,-1.2475,-0.8096,0.3923,0.3436,-0.8005,-2.2108,0.42,636.96,0
0.6574,0.8962,0.9417,0.4891,0.9679,-1.5766,-0.1076,-1.4149,147.52,0
-0.9732,-1.0607,-0.3973,0.6563,-0.8659,-0.2254,-0.1067,-1.0119,297.3,0
0.4045,-0.4157,0.722,1.095,-0.2629,-1.0276,-1.457,0.9257,372.74,0
0.3321,-0.5293,-0.279,1.0157,-1.0918,-0.9443,0.6016,-0.4391,41.26,0
0.2924,1.2379,1.6242,-1.1221,-0.6032,-1.4957,1.0611,-1.5085,68.47,0
0.7087,-0.8245,1.0954,0.0729,-0.1651,-2.0081,-0.3736,0.3716,216.5,0
0.4571,-0.4024,1.215,4.0258,0.6913,0.0997,-1.2979,-0.6375,295.17,0
-0.1963,-0.2092,0.7103,0.4624,-0.8268,-0.3258,-0.2269,0.749,240.64,0
-1.4233,1.2886,0.1498,-0.5037,-0.4094,-0.0335,0.2084,-0.9202,73.35,0
-0.0388,-0.4838,1.7174,-0.2706,1.1937,0.2629,1.827,-0.849,296.5,0
1.8346,-0.1898,-0.5481,-2.0906,-0.9114,0.5279,0.5239,-0.6512,482.75,0
-0.7075,-0.1145,0.5097,-0.2507,-0.5345,-0.6543,0.339,-0.3581,196.71,0
0.5956,0.74,2.2635,2.0959,0.7923,2.0338,0.3118,1.2456,455.35,1
-0.2212,0.3355,0.057,1.7305,-2.1132,0.3771,-0.7271,-2.356,510.9,0
0.7036,0.9893,0.9362,-0.4067,0.5186,-0.7757,-0.2929,-1.0429,137.05,0
1.5411,-0.522,0.7895,0.6309,1.2369,1.9133,0.3331,-1.7458,95.07,0
-0.6791,-0.7626,1.2411,-0.6419,1.7791,-0.1091,-0.3866,0.0451,130.84,0
-0.2647,-0.6117,-0.0426,0.1301,-0.4191,0.5301,-0.9534,-0.9584,402.96,0
0.2276,0.3759,0.9794,0.555,-0.0061,-2.0869,0.5137,-0.9119,230.98,0
-1.5215,0.7013,-0.567,0.3763,0.8872,0.3279,0.7991,-2.0666,125.44,0
0.5272,-0.3737,0.7779,0.4817,-0.3477,1.023,0.2048,0.1636,123.83,0
-1.1268,0.0498,-0.292,-1.4694,-0.0373,-0.3184,-1.1728,-0.3702,347.93,0
0.7368,-0.0633,1.2553,1.2218,-0.9586,0.824,-0.9927,0.054,151.97,0
-0.215,0.9266,0.4719,0.2886,-0.1388,-0.3461,0.9172,-0.3365,456.39,0
1.3163,0.6773,-0.843,-1.0202,-0.3266,0.0608,-1.7685,0.4947,31.66,0
-0.3275,1.7408,-0.5769,0.4303,1.071,0.779,1.0181,1.418,462.13,0
