customer_id,city,employment_type,age,monthly_income,loan_amount,credit_score,country,loan_approved
CUST-00000,City_7,Self-Employed,21.0,4037.1,23962.25,,Morocco,0
CUST-00001,City_65,Salaried,42.0,4347.9,42114.31,,Morocco,0
CUST-00002,City_55,Salaried,,12643.56,20665.63,740.0,Morocco,1
CUST-00003,City_37,Salaried,32.0,11004.35,61842.54,619.0,Morocco,1
CUST-00004,City_36,Unemployed,25.0,5470.63,26644.93,,Morocco,0
CUST-00005,City_72,Salaried,21.0,5591.04,101191.38,,Morocco,1
CUST-00006,City_7,Salaried,19.0,3626.99,35972.31,,Morocco,0
CUST-00007,City_59,Self-Employed,43.0,1729.67,46440.35,,Morocco,0
CUST-00008,City_17,Salaried,23.0,6207.8,19093.18,,Morocco,1
CUST-00009,City_8,Salaried,67.0,4005.37,79121.84,777.0,Morocco,1
CUST-00010,City_44,Salaried,31.0,6287.87,67390.01,622.0,Morocco,0
CUST-00011,City_82,Salaried,52.0,,50938.32,,Morocco,1
CUST-00012,City_62,Salaried,53.0,4595.06,18063.95,690.0,Morocco,1
CUST-00013,City_64,Salaried,44.0,6871.57,49213.34,594.0,Morocco,0
CUST-00014,City_60,Salaried,64.0,7415.52,22571.38,,Morocco,1
CUST-00015,City_66,Salaried,,7543.68,74247.11,,Morocco,1
CUST-00016,City_43,Salaried,30.0,3198.78,61183.89,628.0,Morocco,1
CUST-00017,City_10,Self-Employed,31.0,8636.71,46908.78,,Morocco,0
CUST-00018,City_71,Salaried,25.0,4499.47,1000.0,527.0,Morocco,1
CUST-00019,City_38,Student,34.0,8082.14,25331.68,,Morocco,1
CUST-00020,City_42,Student,34.0,6473.4,58755.22,,Morocco,1
CUST-00021,City_31,Salaried,58.0,3059.03,69257.67,601.0,Morocco,1
CUST-00022,City_15,Salaried,34.0,5709.51,67183.4,,Morocco,1
CUST-00023,City_78,Salaried,,7413.41,13159.74,,Morocco,1
CUST-00024,City_66,Unemployed,,8032.41,51031.05,,Morocco,1
CUST-00025,City_54,Self-Employed,64.0,6147.53,65310.3,,Morocco,1
CUST-00026,City_34,Unemployed,24.0,10329.45,11833.29,,Morocco,0
CUST-00027,City_69,Salaried,69.0,9018.78,44841.91,,Morocco,1
CUST-00028,City_46,Self-Employed,50.0,5858.36,50476.85,,Morocco,1
CUST-00029,City_37,Salaried,69.0,8375.3,38984.71,,Morocco,0
CUST-00030,City_38,Self-Employed,37.0,11334.48,7956.76,,Morocco,0
CUST-00031,City_19,Salaried,67.0,11401.21,38486.04,557.0,Morocco,1
CUST-00032,City_7,Self-Employed,49.0,3430.0,38453.89,,Morocco,1
CUST-00033,City_47,Unemployed,22.0,4183.67,42038.55,,Morocco,0
CUST-00034,City_75,Salaried,39.0,10212.3,33730.57,,Morocco,1
CUST-00035,City_5,Self-Employed,26.0,3854.3,36139.76,,Morocco,1
CUST-00036,City_72,Salaried,67.0,3193.65,44205.87,614.0,Morocco,1
CUST-00037,City_70,Self-Employed,34.0,5284.51,53849.09,,Morocco,1
CUST-00038,City_23,Salaried,30.0,7550.57,38911.46,,Morocco,1
CUST-00039,City_53,Student,47.0,6244.01,36807.02,594.0,Morocco,0
CUST-00040,City_14,Salaried,40.0,4873.59,46847.08,581.0,Morocco,1
CUST-00041,City_64,Student,23.0,4814.47,6581.68,518.0,Morocco,0
CUST-00042,City_59,Unemployed,60.0,4719.16,54540.7,673.0,Morocco,0
CUST-00043,City_30,Self-Employed,,4301.23,44988.74,622.0,Morocco,0
