2026-07-29 12:26:04 | INFO     | emads.ui | Pipeline run started — dataset=students.csv target_column=score_soft_skills
2026-07-29 12:26:05 | INFO     | emads.data_understanding_agent | >>> START agent=data_understanding_agent
2026-07-29 12:26:05 | INFO     | emads.data_understanding_agent | execute() started
2026-07-29 12:26:05 | DEBUG    | emads.data_understanding_agent | Loading dataset from: data\uploads\students.csv
2026-07-29 12:26:05 | DEBUG    | emads.data_understanding_agent | Dataset loaded — shape: (900, 19)
2026-07-29 12:26:05 | INFO     | emads.data_understanding_agent | execute() complete — rows=900 cols=19 target='score_soft_skills' problem_type='regression' quality_issues=7
2026-07-29 12:26:05 | INFO     | emads.data_understanding_agent | <<< END   agent=data_understanding_agent  status=OK
2026-07-29 12:26:05 | INFO     | emads.ui | Pipeline step completed — step=data_understanding (1/8)
2026-07-29 12:26:05 | INFO     | emads.eda_agent | >>> START agent=eda_agent
2026-07-29 12:26:05 | INFO     | emads.eda_agent | execute() started
2026-07-29 12:26:05 | DEBUG    | emads.eda_agent | Reading dataset from: data\uploads\students.csv
2026-07-29 12:26:05 | INFO     | emads.eda_agent | Calling LLM for EDA summary (model=llama-3.1-8b-instant)
2026-07-29 12:26:06 | INFO     | emads.eda_agent | LLM EDA summary received (chars=1618, starts_with="Here's a concise summary of the dataset based on the provided schema statistics:")
2026-07-29 12:26:06 | INFO     | emads.eda_agent | execute() complete — plots=3 outlier_cols=0
2026-07-29 12:26:06 | INFO     | emads.eda_agent | <<< END   agent=eda_agent  status=OK
2026-07-29 12:26:06 | INFO     | emads.ui | Pipeline step completed — step=eda (2/8)
2026-07-29 12:26:06 | INFO     | emads.ui | LLM payload — eda_summary chars=1618 starts_with="Here's a concise summary of the dataset based on the provided schema statistics:"
2026-07-29 12:26:06 | INFO     | emads.preprocessing_agent | >>> START agent=preprocessing_agent
2026-07-29 12:26:06 | INFO     | emads.preprocessing_agent | execute() started
2026-07-29 12:26:06 | DEBUG    | emads.preprocessing_agent | Loading dataset from: data\uploads\students.csv
2026-07-29 12:26:06 | INFO     | emads.preprocessing_agent | execute() complete — final_shape=(900, 32) dropped=7 imputed=1 encoded=11 scaling=StandardScaler
2026-07-29 12:26:06 | DEBUG    | emads.preprocessing_agent | Cleaned dataset saved to: data\outputs\clean_dataset.csv
2026-07-29 12:26:06 | INFO     | emads.preprocessing_agent | <<< END   agent=preprocessing_agent  status=OK
2026-07-29 12:26:06 | INFO     | emads.ui | Pipeline step completed — step=preprocessing (3/8)
2026-07-29 12:26:06 | INFO     | emads.model_selection_agent | >>> START agent=model_selection_agent
2026-07-29 12:26:06 | INFO     | emads.model_selection_agent | execute() started
2026-07-29 12:26:06 | DEBUG    | emads.model_selection_agent | Loading preprocessed data from: data\outputs\clean_dataset.csv
2026-07-29 12:26:13 | INFO     | emads.model_selection_agent | CV result — model=LinearRegression score=-4.4094±0.1387 metric=neg_root_mean_squared_error
2026-07-29 12:26:19 | INFO     | emads.model_selection_agent | CV result — model=DecisionTree score=-6.0411±0.1619 metric=neg_root_mean_squared_error
